K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses,f1_std,sampling,sampling_k,num_epochs,anomaly_detector
9.0,2.0,128.0,128.0,,0.0049892426945087,removal,0.0,0.2213285653473215,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,0.94807976366322,0.9133177684228825,0.9053789731051346,0.9214823642937919,"[8.386651337146759, 9.014859437942505, 9.189600586891174, 8.993186473846436, 8.900290369987488, 8.312976837158203, 7.682178497314453, 7.82334578037262, 8.618405222892761, 8.336423993110657, 8.265978932380676, 7.8603100180625916, 7.770653128623962, 7.8230873346328735, 8.321129441261292, 7.084699988365173, 8.124985337257385, 7.14065682888031, 7.232076108455658, 7.031540036201477, 6.939678251743317, 7.012734651565552, 7.06376713514328, 6.771578133106232, 6.750356137752533, 6.661552667617798, 6.525354564189911, 6.593860626220703, 6.369446694850922, 6.424389064311981, 6.038640141487122, 6.11505663394928, 6.06205153465271, 5.865965783596039, 5.783709108829498, 5.629039645195007, 5.429852724075317, 5.351621091365814, 5.498012363910675, 5.353039741516113, 5.103272318840027, 5.012556254863739, 4.961712658405304, 4.71581494808197, 4.638811767101288, 4.692897260189056, 4.48094779253006, 4.2895234525203705, 4.384879231452942, 4.275365948677063]",0.0028551279219317088,,,,
9.0,2.0,128.0,128.0,,0.0052028401105855,removal,0.0,0.2201462194573843,366.6,mean,GCNConv,15.0,7.0,1.0,100.0,0.9480059084194977,0.9131163575431407,0.90440097799511,0.9220797872928579,"[8.455926299095154, 9.05151903629303, 9.20849609375, 9.061179161071777, 8.895753145217896, 8.330762267112732, 7.715071856975555, 7.8164039850234985, 8.613969564437866, 8.360658526420593, 8.252798318862915, 7.845493316650391, 7.735309600830078, 7.776805639266968, 8.251991152763367, 7.061123609542847, 8.03413039445877, 7.109715163707733, 7.195770502090454, 6.974185943603516, 6.890149414539337, 6.950071096420288, 6.972826242446899, 6.696644067764282, 6.67404979467392, 6.58483624458313, 6.455073118209839, 6.496918857097626, 6.2568036913871765, 6.302268326282501, 5.898621141910553, 5.98817777633667, 5.906488239765167, 5.730384171009064, 5.632709801197052, 5.472906291484833, 5.299756169319153, 5.22484815120697, 5.3202850222587585, 5.1777836084365845, 4.939426779747009, 4.846762716770172, 4.78902930021286, 4.546222150325775, 4.459422320127487, 4.509668409824371, 4.289789855480194, 4.116081714630127, 4.205656409263611, 4.091231346130371]",0.003352598654288113,,,,
9.0,2.0,128.0,128.0,,0.006689692861296501,removal,0.0,0.2152176801162738,366.6,mean,GCNConv,15.0,3.0,1.0,100.0,0.9480797636632202,0.9128414093471232,0.9,0.9260932267188682,"[8.404789865016937, 8.979407906532288, 9.097996473312378, 8.861606001853943, 8.71769905090332, 8.13729864358902, 7.546720206737518, 7.589191257953644, 8.286688029766083, 8.007485508918762, 7.903389990329742, 7.440597951412201, 7.369507670402527, 7.395127356052399, 7.756994366645813, 6.6643993854522705, 7.50841099023819, 6.627134323120117, 6.632383227348328, 6.404616117477417, 6.268285393714905, 6.27004075050354, 6.227095305919647, 5.986305773258209, 5.902224779129028, 5.802202582359314, 5.621540009975433, 5.649561583995819, 5.39128714799881, 5.382967948913574, 5.006420910358429, 5.02786910533905, 4.895573854446411, 4.740576684474945, 4.618544936180115, 4.4542073011398315, 4.234533846378326, 4.158743858337402, 4.186836898326874, 4.04636937379837, 3.829945385456085, 3.7342801094055176, 3.6388616263866425, 3.436236649751663, 3.346913844347, 3.3419279754161835, 3.185086190700531, 3.0003490447998047, 3.069715291261673, 2.9671240150928497]",0.0036581349878679788,,,,
9.0,2.0,128.0,128.0,,0.005739771905123,removal,0.0,0.21334517443666687,366.6,mean,GCNConv,15.0,4.0,1.0,100.0,0.94807976366322,0.9128162793835164,0.8997555012224939,0.926266194881201,"[8.422330141067505, 9.050687074661255, 9.16764235496521, 8.981287002563477, 8.8047616481781, 8.265918254852295, 7.661998748779297, 7.736371040344238, 8.4794203042984, 8.257370591163635, 8.151815295219421, 7.686448037624359, 7.596450865268707, 7.639167308807373, 8.083831250667572, 6.8979421854019165, 7.883078634738922, 6.94598662853241, 6.9849677085876465, 6.781983435153961, 6.680169224739075, 6.716000497341156, 6.692404747009277, 6.467895925045013, 6.417846083641052, 6.301293134689331, 6.1583147048950195, 6.184057354927063, 5.943894684314728, 5.970851361751556, 5.584291458129883, 5.646579802036285, 5.556314051151276, 5.3732123374938965, 5.261414408683777, 5.123386114835739, 4.9228678941726685, 4.8407105803489685, 4.921927273273468, 4.756722092628479, 4.5262651443481445, 4.42860472202301, 4.356268286705017, 4.117367833852768, 4.035498201847076, 4.064510494470596, 3.85991233587265, 3.6869769394397736, 3.7714065313339233, 3.6525763273239136]",0.005099729151889317,,,,
9.0,2.0,128.0,128.0,,0.0066773602186651,removal,0.0,0.21896540473837992,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,0.9475627769571637,0.912579299872689,0.9058679706601467,0.9194269103506784,"[8.360037922859192, 8.94232976436615, 9.077098965644836, 8.823292434215546, 8.70067548751831, 8.10986179113388, 7.516619086265564, 7.560815155506134, 8.255579829216003, 7.963706135749817, 7.879405975341797, 7.3983394503593445, 7.343599915504456, 7.377813994884491, 7.733053207397461, 6.633794128894806, 7.510476768016815, 6.588261723518372, 6.604811787605286, 6.373007714748383, 6.262673795223236, 6.247945547103882, 6.207940399646759, 5.978210926055908, 5.890990912914276, 5.8000847697258, 5.592254281044006, 5.6411290764808655, 5.377167046070099, 5.360678970813751, 4.997808992862701, 5.014303803443909, 4.890868604183197, 4.723660349845886, 4.6176024079322815, 4.447537958621979, 4.235072016716003, 4.154463708400726, 4.195549130439758, 4.057754814624786, 3.8249265551567078, 3.7339313626289368, 3.6376321613788605, 3.4427609145641327, 3.3400197625160217, 3.343931168317795, 3.172190010547638, 3.0102431774139404, 3.0768041610717773, 2.967006891965866]",0.005467200579840536,,,,
9.0,2.0,128.0,128.0,,0.006767471055223501,removal,0.0,0.21549264318625952,366.6,mean,GCNConv,15.0,3.0,1.0,100.0,0.9477104874446086,0.9125093028577386,0.9026894865525673,0.9225517264983581,"[8.416722297668457, 8.992044448852539, 9.107101082801819, 8.872739017009735, 8.7272127866745, 8.162835001945496, 7.547001838684082, 7.594968616962433, 8.302811801433563, 8.002405524253845, 7.897936522960663, 7.412748336791992, 7.35017716884613, 7.383606433868408, 7.7323707938194275, 6.648728728294373, 7.505816280841827, 6.597908914089203, 6.608877122402191, 6.370970070362091, 6.2454856634140015, 6.243087351322174, 6.195022821426392, 5.956616103649139, 5.870536684989929, 5.773600220680237, 5.564667522907257, 5.6141122579574585, 5.355967581272125, 5.3270204067230225, 4.965586721897125, 4.985193848609924, 4.848538875579834, 4.6854095458984375, 4.573387384414673, 4.409253656864166, 4.193099617958069, 4.114455431699753, 4.151086866855621, 4.015315026044846, 3.781538665294647, 3.692113697528839, 3.585495412349701, 3.397048056125641, 3.303552955389023, 3.298647880554199, 3.131866544485092, 2.9643213152885437, 3.030202329158783, 2.9240327775478363]",0.00567388512645871,,,,
9.0,2.0,128.0,128.0,,0.0054744637062266,removal,0.0,0.21711091965727852,366.6,mean,GCNConv,15.0,4.0,1.0,100.0,0.9477843426883309,0.9124120170819454,0.900244498777506,0.9249403601723507,"[8.424268245697021, 9.026002168655396, 9.163343667984009, 8.992304384708405, 8.851695775985718, 8.282487094402313, 7.6581180691719055, 7.77402400970459, 8.535125851631165, 8.28830099105835, 8.183710992336273, 7.763025104999542, 7.651889741420746, 7.68901002407074, 8.174090325832367, 6.980889797210693, 7.969773054122925, 7.018442749977112, 7.07212907075882, 6.871543645858765, 6.762842357158661, 6.823094129562378, 6.829758882522583, 6.5729851722717285, 6.534708678722382, 6.4304463267326355, 6.296218156814575, 6.352906048297882, 6.095543205738068, 6.124673426151276, 5.759508669376373, 5.813086748123169, 5.744614005088806, 5.556181728839874, 5.434245049953461, 5.286823093891144, 5.092702150344849, 5.014490187168121, 5.123623013496399, 4.966405212879181, 4.720870077610016, 4.6354421973228455, 4.5739352107048035, 4.3302072286605835, 4.2553238570690155, 4.269470751285553, 4.0719568729400635, 3.8969039022922516, 3.9702147245407104, 3.8634928166866302]",0.002995416257470011,,,,
9.0,2.0,128.0,128.0,,0.0055788559434096,removal,0.0,0.2159363268536048,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,0.9476366322008862,0.9123016100876811,0.9017114914425427,0.9231554905569288,"[8.37989068031311, 8.985277652740479, 9.110066652297974, 8.920233070850372, 8.770599961280823, 8.247377812862396, 7.628443479537964, 7.696889877319336, 8.463735044002533, 8.233957529067993, 8.13129448890686, 7.682934105396271, 7.589874505996704, 7.634664535522461, 8.106873989105225, 6.919087171554565, 7.8872897028923035, 6.95311713218689, 7.007974624633789, 6.800584077835083, 6.701826632022858, 6.741170227527618, 6.7515475153923035, 6.50111585855484, 6.459453463554382, 6.355011582374573, 6.217081665992737, 6.261884570121765, 6.022605776786804, 6.036935031414032, 5.66246896982193, 5.726818323135376, 5.6473782658576965, 5.451352834701538, 5.350531578063965, 5.201316297054291, 5.00761866569519, 4.925757169723511, 5.010405600070953, 4.871787786483765, 4.621999740600586, 4.527075350284576, 4.460898518562317, 4.226568549871445, 4.145909667015076, 4.162875086069107, 3.965478003025055, 3.785587400197983, 3.8652673959732056, 3.762988179922104]",0.004432436493038073,,,,
9.0,2.0,128.0,128.0,,0.0053024718676402,removal,0.0,0.22321904407401633,366.6,mean,GCNConv,15.0,4.0,1.0,100.0,0.9474889217134417,0.9122384106486073,0.9034229828850856,0.9212633322385608,"[8.40707004070282, 9.024929404258728, 9.171018481254578, 8.961847364902496, 8.847515940666199, 8.280317902565002, 7.659973680973053, 7.79222172498703, 8.518290042877197, 8.26320493221283, 8.21277940273285, 7.762466490268707, 7.695520043373108, 7.755491375923157, 8.206252217292786, 7.021053373813629, 8.01913845539093, 7.04926598072052, 7.109966278076172, 6.924157559871674, 6.826460242271423, 6.891198575496674, 6.926550507545471, 6.633803486824036, 6.604806661605835, 6.506505787372589, 6.3701565861701965, 6.415492057800293, 6.1973347663879395, 6.213405728340149, 5.836519300937653, 5.90073174238205, 5.840197801589966, 5.641810834407806, 5.556379854679108, 5.3888382613658905, 5.199086844921112, 5.130539357662201, 5.257457435131073, 5.102717995643616, 4.859977424144745, 4.762071311473846, 4.694606006145477, 4.469520926475525, 4.385201096534729, 4.41201651096344, 4.211501955986023, 4.027470111846924, 4.104899287223816, 4.000209957361221]",0.0024733866490598425,,,,
9.0,2.0,128.0,128.0,,0.0049956383740799,removal,0.0,0.2191415233243669,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,0.9473412112259971,0.9121014267314053,0.90440097799511,0.9199528469024807,"[8.428346037864685, 9.031006336212158, 9.20596957206726, 9.037584602832794, 8.913761138916016, 8.352726101875305, 7.698673069477081, 7.835251688957214, 8.640833973884583, 8.367636442184448, 8.29314512014389, 7.888788878917694, 7.79271674156189, 7.82329785823822, 8.34402734041214, 7.092267036437988, 8.146693646907806, 7.16369891166687, 7.251346945762634, 7.052781164646149, 6.955591559410095, 7.026518166065216, 7.064728379249573, 6.787350237369537, 6.774413108825684, 6.664731800556183, 6.559874415397644, 6.6076183915138245, 6.373546242713928, 6.431476712226868, 6.0478081703186035, 6.116757392883301, 6.0722657442092896, 5.869641125202179, 5.783740341663361, 5.632927775382996, 5.43739128112793, 5.358281791210175, 5.508208692073822, 5.357070863246918, 5.107841491699219, 5.015452027320862, 4.9682499170303345, 4.720199942588806, 4.638465106487274, 4.689695417881012, 4.474390864372253, 4.292365789413452, 4.390244722366333, 4.275705456733704]",0.00301853119655848,,,,
9.0,2.0,128.0,128.0,,0.0043497390057663,removal,0.0,0.2130857869302621,366.6,mean,GCNConv,15.0,8.0,1.0,100.0,0.947562776957164,0.911918347156649,0.8982885085574572,0.9260142032946241,"[8.44494742155075, 9.091924667358398, 9.258330821990967, 9.080401837825775, 8.958045601844788, 8.407768428325653, 7.75798898935318, 7.941884756088257, 8.72630912065506, 8.54425323009491, 8.469634234905243, 8.027670741081238, 7.942485570907593, 8.020275950431824, 8.558664798736572, 7.283692121505737, 8.372661471366882, 7.3510658740997314, 7.463699579238892, 7.296111166477203, 7.219232261180878, 7.300556182861328, 7.384428441524506, 7.081791937351227, 7.131920397281647, 7.0068886280059814, 6.883336842060089, 6.946947157382965, 6.738331854343414, 6.836545765399933, 6.444180607795715, 6.556711435317993, 6.535753786563873, 6.330989420413971, 6.236038088798523, 6.117983043193817, 5.923943340778351, 5.864300608634949, 6.03633588552475, 5.871268570423126, 5.644149482250214, 5.554951965808868, 5.551468849182129, 5.247904300689697, 5.1891292333602905, 5.268720030784607, 5.022730112075806, 4.8684983253479, 4.9818079471588135, 4.850470781326294]",0.006901676473640293,,,,
9.0,2.0,128.0,128.0,,0.0054506104004714,removal,0.0,0.22292455149349827,366.6,mean,GCNConv,15.0,4.0,1.0,100.0,0.9471196454948302,0.9118479661513387,0.9053789731051346,0.9184136498175428,"[8.343466401100159, 8.935043334960938, 9.104595184326172, 8.907298982143402, 8.8106529712677, 8.242401003837585, 7.622025966644287, 7.701738715171814, 8.49847549200058, 8.211757183074951, 8.137024998664856, 7.715149462223053, 7.596578598022461, 7.654412269592285, 8.130981385707855, 6.9575546979904175, 7.922140896320343, 6.967890024185181, 7.046806693077087, 6.818397283554077, 6.73812335729599, 6.771298587322235, 6.804728925228119, 6.534460365772247, 6.497582674026489, 6.398976147174835, 6.26637989282608, 6.328671157360077, 6.094335317611694, 6.096883714199066, 5.727620601654053, 5.791273593902588, 5.72882217168808, 5.528254985809326, 5.425698399543762, 5.274041026830673, 5.073987066745758, 4.993364751338959, 5.104432225227356, 4.95592987537384, 4.719773054122925, 4.619753003120422, 4.558151185512543, 4.319305807352066, 4.2401473224163055, 4.263159215450287, 4.070576190948486, 3.8863995373249054, 3.970503091812134, 3.8565021753311157]",0.005630535509499422,,,,
9.0,2.0,128.0,128.0,,0.0063426066149998,removal,0.0,0.22140212567271716,366.6,mean,GCNConv,15.0,5.0,1.0,100.0,0.9471935007385526,0.9117020093709381,0.9024449877750611,0.9211619782298346,"[8.386808633804321, 8.98425817489624, 9.100653171539307, 8.881211161613464, 8.744276285171509, 8.183092892169952, 7.567282617092133, 7.613408029079437, 8.368059039115906, 8.1088228225708, 7.985911130905151, 7.5113221406936646, 7.446500182151794, 7.490440249443054, 7.86746621131897, 6.7378039956092834, 7.651879906654358, 6.71474426984787, 6.75541889667511, 6.517827689647675, 6.433563530445099, 6.422481536865234, 6.402829110622406, 6.16750705242157, 6.0846638679504395, 5.9907127022743225, 5.8193612694740295, 5.864353597164154, 5.596868336200714, 5.5895150899887085, 5.221187233924866, 5.259804368019104, 5.137249767780304, 4.951722085475922, 4.8481608629226685, 4.68972048163414, 4.486907660961151, 4.398654043674469, 4.455037474632263, 4.307716250419617, 4.068872511386871, 3.986283451318741, 3.885033130645752, 3.6767622232437134, 3.5892290472984314, 3.5952706336975098, 3.4192011654376984, 3.2399240732192993, 3.312773883342743, 3.2015654146671295]",0.0036268224571508363,,,,
